tradingdate,open,high,low,close,volume,adj_close,SMA_20,SMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,VOLUME_SMA_20,CDL_DOJI_10_0.1,CDL_SHOOTINGSTAR,CDL_HAMMER,CDL_HANGINGMAN,CDL_EVENINGSTAR,CDL_MORNINGSTAR,CDL_INVERTEDHAMMER,VOLUME_VS_MA20,symbol,X2 VOLUME SMA20,X1.5_VOLUME SMA20,X0.5_VOLUME SMA20,MA20 > MA50,PRICE > BBU20,PRICE < BBL20,RSI > 70,RSI < 30,MA20 X MA50,MACD X 0
2021-05-31,25.893,26.741,25.446,26.741,24242200,26.741,20.9954,18.070360000000004,16.966848975127533,20.9954,25.023951024872467,38.375558692594254,1.2131099947011208,89.92399052620378,2.122763032891527,0.6631183557485396,1.4596446771429872,19831710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2223958498788052,LPB,False,False,False,True,True,False,True,False,0,False
2021-06-01,28.482,28.482,25.893,26.428,21800700,26.428,21.357,18.307860000000005,16.77865252520068,21.357,25.93534747479932,42.874443740219306,1.053802439407712,86.405397528967,2.329606041080062,0.6959690911496599,1.6336369499304022,20233455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0774581009521111,LPB,False,False,False,True,True,False,True,False,0,False
2021-06-02,25.893,28.259,25.714,28.259,30704200,28.259,21.819049999999997,18.581980000000005,16.476705815093727,21.819049999999997,27.161394184906268,48.96953978203699,1.1027269843634184,89.0938065783588,2.6692302682622575,0.8284746546654842,1.8407556135967733,20808615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4755523133086945,LPB,False,False,False,True,True,False,True,False,0,False
2021-06-03,30.223,30.223,29.018,30.223,20623800,30.223,22.401649999999997,18.895380000000003,16.140798643355133,22.401649999999997,28.66250135664486,55.89634117705495,1.1246235179900035,91.12189518967953,3.113343756810025,1.018070514570601,2.095273242239424,20979565.0,100.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.9830423080745477,LPB,False,False,False,True,True,False,True,False,0,False
2021-06-04,30.089,30.357,29.464,29.821,13580700,29.821,22.9284,19.201620000000005,16.06135599548097,22.9284,29.79544400451903,59.89989711030015,1.0018607712040402,87.53384119076645,3.3116796829183457,0.9731251525431377,2.338554530375208,20678240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567628579608322,LPB,False,False,False,True,True,False,True,False,0,False
2021-06-07,28.571,29.018,27.768,28.036,27208600,28.036,23.357,19.476620000000008,16.33997758304841,23.357,30.37402241695159,60.08496311128647,0.8334035237436724,73.6635461503211,3.1506206471784033,0.6496528934425561,2.5009677537358472,21220695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2821728977302582,LPB,False,False,False,True,False,False,True,False,0,False
2021-06-08,28.214,28.839,26.116,26.116,21449200,26.116,23.6963,19.71412000000001,16.836476675744397,23.6963,30.556123324255605,57.89784332790861,0.6763675160148949,62.23942109265431,2.720970406813226,0.17600212246190328,2.544968284351323,21250590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0093460934496408,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-09,26.116,27.902,24.553,27.902,23183200,27.902,24.10035,19.990920000000006,17.249208276900028,24.10035,30.95149172309997,56.85512221274771,0.7774464573679736,67.31700474257457,2.596733460962831,0.04141214128920634,2.5553213196736246,21610845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0727576825431862,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-10,27.768,28.571,27.455,27.857,10240000,27.857,24.470899999999993,20.255200000000006,17.64883705980352,24.470899999999993,31.292962940196468,55.75653482459963,0.7481727323306172,67.07228035096148,2.450520803069363,-0.08384041328340919,2.5343612163527722,21015955.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4872488545012587,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-11,27.768,28.527,27.143,27.902,17122800,27.902,24.823599999999992,20.504320000000007,18.058072514282227,24.823599999999992,31.589127485717757,54.50883421999845,0.7275062814021971,67.20069123863345,2.3035417358099544,-0.18465558443425412,2.4881973202442085,20994995.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815565805088308,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-14,27.902,27.991,27.232,27.411,9392700,27.411,25.176299999999994,20.74272000000001,18.64762497056239,25.176299999999994,31.7049750294376,51.86365772125059,0.6711449865343129,64.25620890383259,2.0886061986404734,-0.3196728972829881,2.4082790959234615,20402630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46036711933706587,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-15,27.232,27.232,25.893,25.893,16885200,25.893,25.444149999999997,20.949860000000008,19.268967564638153,25.444149999999997,31.61933243536184,48.5391135908399,0.5363430558285768,56.07562508050889,1.695104178447096,-0.5705399339810926,2.2656441124281885,20241645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8341812140268244,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-16,25.982,26.696,24.777,25.0,14709500,25.0,25.6428,21.135580000000008,19.80223137699757,25.6428,31.48336862300243,45.55328297223727,0.44497111141983636,51.89038421328499,1.2653632716750707,-0.8002246726024942,2.065587944277565,20250185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726388425587223,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-17,24.286,26.339,24.286,26.339,11374400,26.339,25.910649999999997,21.34718000000001,20.472121255017477,25.910649999999997,31.349178744982517,41.97909928915347,0.539381055068909,57.064930814877656,1.1117714533175764,-0.7630531927679907,1.874824646085567,20128030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5651024963694907,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-18,26.786,26.964,25.536,26.428,6928000,26.428,26.182949999999998,21.564140000000013,21.235605480967433,26.182949999999998,31.130294519032564,37.79058142060055,0.5247658111394192,57.392962552798345,0.9923980170381839,-0.7059413032379065,1.6983393202760904,19746890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3508400563329213,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-21,25.893,26.339,25.446,25.714,8147000,25.714,26.424,21.76682000000001,22.100683449017318,26.424,30.74731655098268,32.72265024964186,0.41788711379015037,53.83914797350092,0.7941865364964293,-0.7233222270237287,1.517508763520158,19460790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41863665349659496,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-22,25.982,26.428,25.536,26.25,7632900,26.25,26.669550000000005,21.979320000000012,23.02475960959354,26.669550000000005,30.314340390406468,27.332972550391457,0.44244524992379375,56.03977908805414,0.7083766707296029,-0.6473056742324441,1.355682344962047,18948965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40281355736315944,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-23,26.25,26.339,25.714,25.714,4347400,25.714,26.821350000000006,22.169500000000014,23.629415647604993,26.821350000000006,30.01328435239502,23.801444389600164,0.32653935235711745,53.303179655249465,0.5630085500716504,-0.6341390359123174,1.1971475859839678,17812200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2440686720337746,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-24,26.339,27.053,26.071,26.294,8013900,26.294,26.966400000000004,22.358780000000014,24.1719072445971,26.966400000000004,29.760892755402907,20.725738366284727,0.3796919407466744,55.81745827040555,0.5250107162716553,-0.53770949576985,1.0627202120415054,16662760.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48094673391442955,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-25,26.652,26.652,26.071,26.339,4316100,26.339,27.033350000000006,22.557000000000013,24.369397877682722,27.033350000000006,29.69730212231729,19.708634870020052,0.3696767118704793,56.015335843662626,0.493446374872228,-0.4554190697354219,0.9488654446076499,15095125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859267478738997,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-28,26.607,27.053,26.339,26.919,9861000,26.919,27.042250000000006,22.765920000000015,24.381076283385685,27.042250000000006,29.703423716614328,19.68159984183506,0.4768429247533658,58.589613160716425,0.5373211562085487,-0.32923543071928096,0.8665565869278297,14376065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859317900969424,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-29,27.009,27.678,26.964,27.232,8845100,27.232,27.082450000000005,22.979320000000016,24.43535313928655,27.082450000000005,29.72954686071346,19.54842978174761,0.5282479274218336,59.95180424106705,0.5985897661189021,-0.21437345664714202,0.8129632227660442,13728285.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.6442975215039606,LPB,False,False,False,True,False,False,False,False,0,False
2021-06-30,27.143,27.232,26.518,26.741,5620300,26.741,27.006550000000004,23.175740000000015,24.41222114844723,27.006550000000004,29.60087885155278,19.212589920243598,0.44882106024433527,56.79559879226724,0.5653435354268552,-0.19809574987135115,0.7634392852982064,12474090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45055791644921594,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-01,26.741,26.964,26.25,26.696,5910700,26.696,26.8302,23.363240000000015,24.695645470361598,26.8302,28.964754529638405,15.9115812005755,0.4685648695930168,56.50200788970739,0.5245059271511288,-0.1911466865176621,0.7156526136687908,11738435.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503533903795523,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-02,26.964,27.143,26.607,26.607,8429500,26.607,26.6695,23.540920000000014,25.034259406081098,26.6695,28.3047405939189,12.26300151048127,0.48088966228198354,55.88669149364881,0.47334790256928017,-0.19384376887960852,0.6671916714488887,11480875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7342210415146929,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-05,26.919,26.964,26.161,26.875,8235200,26.875,26.61145,23.742700000000013,25.096354560761874,26.61145,28.12654543923813,11.386793573729557,0.5869747189432918,57.39143000405318,0.4628048972574774,-0.16350941935312902,0.6263143166106064,10532205.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7819065428369463,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-06,27.5,28.303,25.0,25.0,13416200,25.0,26.555650000000004,23.883780000000016,24.89633697648719,26.555650000000004,28.214963023512816,12.496873723767347,0.031236729310227168,45.657259245913245,0.19978853194090362,-0.3412206277357622,0.5410091596766659,10130555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.324330206982737,LPB,False,False,False,True,False,False,False,False,0,True
2021-07-07,25.893,26.741,24.911,26.741,10109100,26.741,26.497600000000006,24.048960000000015,24.953521064194288,26.497600000000006,28.041678935805724,11.654481430814245,0.5788172140542106,54.88170391490045,0.2383973942031048,-0.24208941237884885,0.48048680658195364,9476850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0667152060019944,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-08,27.232,27.232,26.25,26.696,8467100,26.696,26.439550000000008,24.215920000000015,25.022165299222273,26.439550000000008,27.856934700777742,10.72170063997106,0.5904659122746552,54.62361014697537,0.25497138985914347,-0.18041233337824814,0.4353837232373916,9388205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90188699543736,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-09,26.339,27.143,25.0,25.803,6966600,25.803,26.334600000000012,24.366800000000016,25.062511732623083,26.334600000000012,27.606688267376942,9.660965174158171,0.2910522352760233,49.6351876612707,0.1442768132551464,-0.23288552798579615,0.37716234124094256,8880395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7844921312621792,LPB,False,False,False,True,False,False,False,False,0,True
2021-07-12,25.268,25.536,24.018,25.0,16189900,25.0,26.214050000000007,24.48288000000002,24.916134983522117,26.214050000000007,27.511965016477898,9.902437940553941,0.03230759156538041,45.60228105320512,-0.04235120683364357,-0.3356108384596689,0.2932596316260253,9220255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755905883297154,LPB,False,True,False,True,False,False,False,False,0,True
2021-07-13,25.0,25.268,23.839,24.553,7378500,24.553,26.147050000000007,24.590020000000024,24.664541925823354,26.147050000000007,27.62955807417666,11.33977312298445,-0.0376193316469121,43.48422759063647,-0.23215180271796498,-0.42032914747519223,0.18817734475722725,8744920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843746998257274,LPB,False,False,False,True,False,True,False,False,0,False
2021-07-14,24.553,24.553,23.214,24.196,7974500,24.196,26.10685000000001,24.69358000000002,24.466868137295727,26.10685000000001,27.74683186270429,12.563613478487687,-0.0825826624841666,41.8138454525901,-0.40854309672267775,-0.477376353183924,0.06883325646124624,8408170.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.9484227840302943,LPB,False,False,False,True,False,True,False,False,0,False
2021-07-15,24.107,24.732,23.75,24.732,4560300,24.732,26.02650000000001,24.816800000000022,24.285529063999373,26.02650000000001,27.767470936000645,13.378448396831194,0.12822469541802362,45.21647970846215,-0.4546269794184816,-0.4187681887037823,-0.03585879071469934,8067465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652705031878044,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-16,24.821,24.866,24.33,24.509,5247000,24.509,25.93055000000001,24.92126000000002,24.080556759472078,25.93055000000001,27.780543240527944,14.268831478915276,0.11579589350436156,44.0620044745495,-0.5073099878009977,-0.3771609576690387,-0.130149030131959,7983415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572375355659201,LPB,False,False,False,True,False,False,False,False,0,False
2021-07-19,23.214,24.107,22.812,22.812,9224000,22.812,25.785450000000008,24.98822000000002,23.488941565441095,25.785450000000008,28.08195843455892,17.81243635118962,-0.14738495083540015,36.43769622278176,-0.7571502970047774,-0.5016010134982547,-0.25554928350652273,8037265.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.1476540838208023,LPB,False,False,False,True,False,True,False,False,0,False
2021-07-20,22.857,22.991,21.473,22.857,10192000,22.857,25.615800000000007,25.05876000000002,23.00221452406852,25.615800000000007,28.229385475931494,20.406042176558888,-0.027780710714419333,36.750239696799234,-0.912600004583112,-0.5256405768612714,-0.38695942772184055,8165220.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1.2482211134543832,LPB,False,False,False,True,False,True,False,False,0,False
2021-07-21,24.0,24.0,23.6,23.7,324600,23.7,25.515100000000007,25.136340000000022,22.772401263353906,25.515100000000007,28.25779873664611,21.49863207783705,0.16910328579879022,42.45835602754027,-0.8933806058085381,-0.405136942469358,-0.48824366333918007,7964080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04075800343542506,LPB,False,False,False,True,False,False,False,False,0,False
2021-01-04,41.834,42.81,41.426,42.159,3380200,42.159,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-05,41.996,42.648,41.671,41.834,3227600,41.834,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-06,41.508,42.648,41.182,42.24,3515200,42.24,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-07,42.24,42.403,41.345,41.996,3148200,41.996,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-08,41.671,42.077,41.101,41.834,3689700,41.834,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-11,41.834,41.996,41.426,41.914,2328600,41.914,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-12,41.914,42.159,41.589,41.914,3578100,41.914,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-13,41.752,43.38,41.508,43.38,5038900,43.38,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-14,43.298,46.391,43.217,45.577,5327500,45.577,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-15,45.089,45.577,44.357,45.007,3532400,45.007,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
2021-01-18,44.845,45.089,43.949,44.763,3523000,44.763,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,PDR,False,False,False,False,False,False,False,False,0,False
